build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
325390026,Fri Jan 05 10:34:45  2018,develop,true,Fri Jan 05 10:34:45  2018,Fri Jan 05 10:34:45  2018,null,null,Fri Jan 05 10:34:45  2018,-1,-1,0,0
325390815,Fri Jan 05 10:37:29  2018,develop,true,Fri Jan 05 10:34:45  2018,Fri Jan 05 10:34:45  2018,null,null,Fri Jan 05 10:34:45  2018,-1,-1,0,0
325390815,Fri Jan 05 10:37:29  2018,master,true,Fri Jan 05 10:37:29  2018,Fri Jan 05 10:37:29  2018,Fri Jan 05 10:34:45  2018,develop,Fri Jan 05 10:37:29  2018,-1,-1,0,0
326221546,Mon Jan 08 04:00:35  2018,develop,true,Fri Jan 05 10:34:45  2018,Mon Jan 08 04:00:35  2018,Fri Jan 05 10:37:29  2018,master,Fri Jan 05 10:34:45  2018,164000,-1,235550000,235550000
326221546,Mon Jan 08 04:00:35  2018,master,true,Fri Jan 05 10:37:29  2018,Fri Jan 05 10:37:29  2018,Mon Jan 08 04:00:35  2018,develop,Fri Jan 05 10:37:29  2018,235386000,235386000,0,0
326754950,Tue Jan 09 10:37:20  2018,develop,false,Fri Jan 05 10:34:45  2018,Mon Jan 08 04:00:35  2018,Fri Jan 05 10:37:29  2018,master,Fri Jan 05 10:34:45  2018,164000,-1,235550000,235550000
326754950,Tue Jan 09 10:37:20  2018,master,true,Fri Jan 05 10:37:29  2018,Fri Jan 05 10:37:29  2018,Mon Jan 08 04:00:35  2018,develop,Fri Jan 05 10:37:29  2018,235386000,235386000,0,0
328192852,Fri Jan 12 16:46:52  2018,develop,false,Fri Jan 05 10:34:45  2018,Mon Jan 08 04:00:35  2018,Fri Jan 05 10:37:29  2018,master,Fri Jan 05 10:34:45  2018,164000,-1,235550000,235550000
328192852,Fri Jan 12 16:46:52  2018,master,true,Fri Jan 05 10:37:29  2018,Fri Jan 12 16:46:52  2018,Mon Jan 08 04:00:35  2018,develop,Fri Jan 05 10:37:29  2018,235386000,-1,626963000,626963000
328904095,Mon Jan 15 03:51:34  2018,develop,false,Fri Jan 05 10:34:45  2018,Mon Jan 15 03:51:34  2018,Fri Jan 05 10:37:29  2018,master,Fri Jan 05 10:34:45  2018,164000,-1,839809000,839809000
328904095,Mon Jan 15 03:51:34  2018,master,true,Fri Jan 05 10:37:29  2018,Fri Jan 12 16:46:52  2018,Mon Jan 15 03:51:34  2018,develop,Fri Jan 05 10:37:29  2018,839645000,212682000,626963000,626963000
332154054,Tue Jan 23 06:06:09  2018,develop,false,Fri Jan 05 10:34:45  2018,Mon Jan 15 03:51:34  2018,Fri Jan 05 10:37:29  2018,master,Fri Jan 05 10:34:45  2018,164000,-1,839809000,839809000
332154054,Tue Jan 23 06:06:09  2018,master,true,Fri Jan 05 10:37:29  2018,Tue Jan 23 06:06:09  2018,Mon Jan 15 03:51:34  2018,develop,Fri Jan 05 10:37:29  2018,839645000,-1,1538920000,1538920000
332154169,Tue Jan 23 06:06:46  2018,develop,false,Fri Jan 05 10:34:45  2018,Mon Jan 15 03:51:34  2018,Fri Jan 05 10:37:29  2018,master,Fri Jan 05 10:34:45  2018,164000,-1,839809000,839809000
332154169,Tue Jan 23 06:06:46  2018,master,true,Fri Jan 05 10:37:29  2018,Tue Jan 23 06:06:46  2018,Mon Jan 15 03:51:34  2018,develop,Fri Jan 05 10:37:29  2018,839645000,-1,1538957000,1538957000
