build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
325714333,Sat Jan 06 06:08:21  2018,master,true,Sat Jan 06 06:08:21  2018,Sat Jan 06 06:08:21  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,0,0
325718018,Sat Jan 06 06:32:35  2018,master,true,Sat Jan 06 06:08:21  2018,Sat Jan 06 06:32:35  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,1454000,1454000
325772369,Sat Jan 06 12:56:59  2018,master,true,Sat Jan 06 06:08:21  2018,Sat Jan 06 12:56:59  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,24518000,24518000
325953324,Sun Jan 07 04:28:30  2018,master,true,Sat Jan 06 06:08:21  2018,Sun Jan 07 04:28:30  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,80409000,80409000
326013085,Sun Jan 07 11:18:35  2018,master,true,Sat Jan 06 06:08:21  2018,Sun Jan 07 11:18:35  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,105014000,105014000
326215703,Mon Jan 08 03:21:55  2018,master,true,Sat Jan 06 06:08:21  2018,Mon Jan 08 03:21:55  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,162814000,162814000
326233626,Mon Jan 08 05:27:03  2018,master,true,Sat Jan 06 06:08:21  2018,Mon Jan 08 05:27:03  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,170322000,170322000
326234347,Mon Jan 08 05:37:25  2018,master,true,Sat Jan 06 06:08:21  2018,Mon Jan 08 05:37:25  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,170944000,170944000
326306551,Mon Jan 08 10:47:04  2018,master,true,Sat Jan 06 06:08:21  2018,Mon Jan 08 10:47:04  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,189523000,189523000
326717893,Tue Jan 09 08:58:50  2018,master,true,Sat Jan 06 06:08:21  2018,Tue Jan 09 08:58:50  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,269429000,269429000
326723300,Tue Jan 09 09:20:49  2018,master,true,Sat Jan 06 06:08:21  2018,Tue Jan 09 09:20:49  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,270748000,270748000
326726421,Tue Jan 09 09:28:10  2018,master,true,Sat Jan 06 06:08:21  2018,Tue Jan 09 09:28:10  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,271189000,271189000
326733248,Tue Jan 09 09:49:32  2018,master,true,Sat Jan 06 06:08:21  2018,Tue Jan 09 09:49:32  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,272471000,272471000
326764391,Tue Jan 09 11:04:59  2018,master,true,Sat Jan 06 06:08:21  2018,Tue Jan 09 11:04:59  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,276998000,276998000
326795396,Tue Jan 09 13:41:33  2018,master,true,Sat Jan 06 06:08:21  2018,Tue Jan 09 13:41:33  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,286392000,286392000
327120061,Wed Jan 10 07:25:26  2018,master,true,Sat Jan 06 06:08:21  2018,Wed Jan 10 07:25:26  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,350225000,350225000
328377249,Sat Jan 13 05:23:00  2018,master,true,Sat Jan 06 06:08:21  2018,Sat Jan 13 05:23:00  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,602079000,602079000
328381801,Sat Jan 13 05:55:06  2018,master,true,Sat Jan 06 06:08:21  2018,Sat Jan 13 05:55:06  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,604005000,604005000
328386479,Sat Jan 13 06:45:19  2018,master,true,Sat Jan 06 06:08:21  2018,Sat Jan 13 06:45:19  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,607018000,607018000
328643932,Sun Jan 14 06:36:36  2018,master,true,Sat Jan 06 06:08:21  2018,Sun Jan 14 06:36:36  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,692895000,692895000
328704226,Sun Jan 14 12:38:15  2018,master,true,Sat Jan 06 06:08:21  2018,Sun Jan 14 12:38:15  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,714594000,714594000
328709242,Sun Jan 14 13:10:39  2018,master,true,Sat Jan 06 06:08:21  2018,Sun Jan 14 13:10:39  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,716538000,716538000
328929694,Mon Jan 15 06:44:25  2018,master,true,Sat Jan 06 06:08:21  2018,Mon Jan 15 06:44:25  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,779764000,779764000
329044479,Mon Jan 15 13:14:35  2018,master,true,Sat Jan 06 06:08:21  2018,Mon Jan 15 13:14:35  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,803174000,803174000
329054907,Mon Jan 15 14:00:13  2018,master,true,Sat Jan 06 06:08:21  2018,Mon Jan 15 14:00:13  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,805912000,805912000
329065322,Mon Jan 15 14:18:17  2018,master,true,Sat Jan 06 06:08:21  2018,Mon Jan 15 14:18:17  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,806996000,806996000
329086189,Mon Jan 15 14:48:34  2018,master,true,Sat Jan 06 06:08:21  2018,Mon Jan 15 14:48:34  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,808813000,808813000
329097643,Mon Jan 15 15:15:33  2018,master,true,Sat Jan 06 06:08:21  2018,Mon Jan 15 15:15:33  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,810432000,810432000
329082096,Mon Jan 15 15:15:53  2018,master,true,Sat Jan 06 06:08:21  2018,Mon Jan 15 15:15:53  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,810452000,810452000
329093186,Mon Jan 15 15:19:36  2018,master,true,Sat Jan 06 06:08:21  2018,Mon Jan 15 15:19:36  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,810675000,810675000
329454499,Tue Jan 16 13:01:27  2018,master,true,Sat Jan 06 06:08:21  2018,Tue Jan 16 13:01:27  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,888786000,888786000
329734492,Wed Jan 17 13:21:54  2018,master,true,Sat Jan 06 06:08:21  2018,Wed Jan 17 13:21:54  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,976413000,976413000
330186509,Thu Jan 18 04:24:29  2018,master,true,Sat Jan 06 06:08:21  2018,Thu Jan 18 04:24:29  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,1030568000,1030568000
330192712,Thu Jan 18 04:26:15  2018,master,true,Sat Jan 06 06:08:21  2018,Thu Jan 18 04:26:15  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,1030674000,1030674000
330199399,Thu Jan 18 04:56:19  2018,master,true,Sat Jan 06 06:08:21  2018,Thu Jan 18 04:56:19  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,1032478000,1032478000
329058550,Thu Jan 18 05:06:04  2018,master,true,Sat Jan 06 06:08:21  2018,Thu Jan 18 05:06:04  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,1033063000,1033063000
330182913,Thu Jan 18 05:26:30  2018,master,true,Sat Jan 06 06:08:21  2018,Thu Jan 18 05:26:30  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,1034289000,1034289000
330184012,Thu Jan 18 05:54:36  2018,master,true,Sat Jan 06 06:08:21  2018,Thu Jan 18 05:54:36  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,1035975000,1035975000
330592882,Fri Jan 19 02:00:29  2018,master,true,Sat Jan 06 06:08:21  2018,Fri Jan 19 02:00:29  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,1108328000,1108328000
330855979,Fri Jan 19 15:15:38  2018,master,true,Sat Jan 06 06:08:21  2018,Fri Jan 19 15:15:38  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,1156037000,1156037000
330913381,Fri Jan 19 17:21:44  2018,master,true,Sat Jan 06 06:08:21  2018,Fri Jan 19 17:21:44  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,1163603000,1163603000
330969087,Sat Jan 20 05:45:25  2018,master,true,Sat Jan 06 06:08:21  2018,Sat Jan 20 05:45:25  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,1208224000,1208224000
331114445,Sat Jan 20 06:19:16  2018,master,true,Sat Jan 06 06:08:21  2018,Sat Jan 20 06:19:16  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,1210255000,1210255000
332492694,Tue Jan 23 20:49:44  2018,master,true,Sat Jan 06 06:08:21  2018,Tue Jan 23 20:49:44  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,1521683000,1521683000
332504968,Tue Jan 23 21:19:17  2018,master,true,Sat Jan 06 06:08:21  2018,Tue Jan 23 21:19:17  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,1523456000,1523456000
332528470,Tue Jan 23 22:17:28  2018,master,true,Sat Jan 06 06:08:21  2018,Tue Jan 23 22:17:28  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,1526947000,1526947000
332538192,Wed Jan 24 05:30:54  2018,master,true,Sat Jan 06 06:08:21  2018,Wed Jan 24 05:30:54  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,1552953000,1552953000
332561722,Wed Jan 24 05:37:44  2018,master,true,Sat Jan 06 06:08:21  2018,Wed Jan 24 05:37:44  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,1553363000,1553363000
332655444,Wed Jan 24 06:58:35  2018,master,true,Sat Jan 06 06:08:21  2018,Wed Jan 24 06:58:35  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,1558214000,1558214000
332719305,Wed Jan 24 10:28:05  2018,master,true,Sat Jan 06 06:08:21  2018,Wed Jan 24 10:28:05  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,1570784000,1570784000
332679914,Wed Jan 24 10:55:34  2018,master,true,Sat Jan 06 06:08:21  2018,Wed Jan 24 10:55:34  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,1572433000,1572433000
332728651,Wed Jan 24 11:03:13  2018,master,true,Sat Jan 06 06:08:21  2018,Wed Jan 24 11:03:13  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,1572892000,1572892000
332736472,Wed Jan 24 11:13:39  2018,master,true,Sat Jan 06 06:08:21  2018,Wed Jan 24 11:13:39  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,1573518000,1573518000
332732022,Wed Jan 24 11:26:14  2018,master,true,Sat Jan 06 06:08:21  2018,Wed Jan 24 11:26:14  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,1574273000,1574273000
332886833,Wed Jan 24 17:13:24  2018,master,true,Sat Jan 06 06:08:21  2018,Wed Jan 24 17:13:24  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,1595103000,1595103000
332891009,Wed Jan 24 17:23:49  2018,master,true,Sat Jan 06 06:08:21  2018,Wed Jan 24 17:23:49  2018,null,null,Sat Jan 06 06:08:21  2018,-1,-1,1595728000,1595728000
