build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
326253226,Mon Jan 08 07:21:35  2018,develop,true,Mon Jan 08 07:21:35  2018,Mon Jan 08 07:21:35  2018,null,null,Mon Jan 08 07:21:35  2018,-1,-1,0,0
326306940,Mon Jan 08 11:21:30  2018,develop,true,Mon Jan 08 07:21:35  2018,Mon Jan 08 11:21:30  2018,null,null,Mon Jan 08 07:21:35  2018,-1,-1,14395000,14395000
326355887,Mon Jan 08 13:13:46  2018,develop,true,Mon Jan 08 07:21:35  2018,Mon Jan 08 13:13:46  2018,null,null,Mon Jan 08 07:21:35  2018,-1,-1,21131000,21131000
326376257,Mon Jan 08 14:07:19  2018,develop,true,Mon Jan 08 07:21:35  2018,Mon Jan 08 14:07:19  2018,null,null,Mon Jan 08 07:21:35  2018,-1,-1,24344000,24344000
326377797,Mon Jan 08 14:11:38  2018,develop,true,Mon Jan 08 07:21:35  2018,Mon Jan 08 14:11:38  2018,null,null,Mon Jan 08 07:21:35  2018,-1,-1,24603000,24603000
326692658,Tue Jan 09 06:52:06  2018,develop,true,Mon Jan 08 07:21:35  2018,Tue Jan 09 06:52:06  2018,null,null,Mon Jan 08 07:21:35  2018,-1,-1,84631000,84631000
326839079,Tue Jan 09 14:36:36  2018,develop,true,Mon Jan 08 07:21:35  2018,Tue Jan 09 14:36:36  2018,null,null,Mon Jan 08 07:21:35  2018,-1,-1,112501000,112501000
326839888,Tue Jan 09 14:38:39  2018,develop,true,Mon Jan 08 07:21:35  2018,Tue Jan 09 14:38:39  2018,null,null,Mon Jan 08 07:21:35  2018,-1,-1,112624000,112624000
327226581,Wed Jan 10 13:20:41  2018,develop,true,Mon Jan 08 07:21:35  2018,Wed Jan 10 13:20:41  2018,null,null,Mon Jan 08 07:21:35  2018,-1,-1,194346000,194346000
327228845,Wed Jan 10 13:27:04  2018,develop,true,Mon Jan 08 07:21:35  2018,Wed Jan 10 13:27:04  2018,null,null,Mon Jan 08 07:21:35  2018,-1,-1,194729000,194729000
