build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
382692783,Wed May 23 14:05:15  2018,HH-77585,true,Wed May 23 14:05:15  2018,Wed May 23 14:05:15  2018,null,null,Wed May 23 14:05:15  2018,-1,-1,0,0
382692796,Wed May 23 14:05:29  2018,HH-77585,true,Wed May 23 14:05:15  2018,Wed May 23 14:05:15  2018,null,null,Wed May 23 14:05:15  2018,-1,-1,0,0
382692796,Wed May 23 14:05:29  2018,master,true,Wed May 23 14:05:29  2018,Wed May 23 14:05:29  2018,Wed May 23 14:05:15  2018,HH-77585,Wed May 23 14:05:29  2018,-1,-1,0,0
382696106,Wed May 23 14:11:39  2018,HH-77585,true,Wed May 23 14:05:15  2018,Wed May 23 14:05:15  2018,Wed May 23 14:11:39  2018,master,Wed May 23 14:05:15  2018,384000,384000,0,0
382696106,Wed May 23 14:11:39  2018,master,true,Wed May 23 14:05:29  2018,Wed May 23 14:11:39  2018,Wed May 23 14:05:15  2018,HH-77585,Wed May 23 14:05:29  2018,-1,-1,370000,370000
382696114,Wed May 23 14:12:03  2018,HH-77585,true,Wed May 23 14:05:15  2018,Wed May 23 14:12:03  2018,Wed May 23 14:11:39  2018,master,Wed May 23 14:05:15  2018,384000,-1,408000,408000
382696114,Wed May 23 14:12:03  2018,master,true,Wed May 23 14:05:29  2018,Wed May 23 14:11:39  2018,Wed May 23 14:12:03  2018,HH-77585,Wed May 23 14:05:29  2018,394000,24000,370000,370000
382698430,Wed May 23 14:16:04  2018,HH-77585,true,Wed May 23 14:05:15  2018,Wed May 23 14:16:04  2018,Wed May 23 14:11:39  2018,master,Wed May 23 14:05:15  2018,384000,-1,649000,649000
382698430,Wed May 23 14:16:04  2018,master,true,Wed May 23 14:05:29  2018,Wed May 23 14:11:39  2018,Wed May 23 14:16:04  2018,HH-77585,Wed May 23 14:05:29  2018,635000,265000,370000,370000
382698448,Wed May 23 14:16:19  2018,HH-77585,true,Wed May 23 14:05:15  2018,Wed May 23 14:16:04  2018,Wed May 23 14:16:19  2018,master,Wed May 23 14:05:15  2018,664000,15000,649000,649000
382698448,Wed May 23 14:16:19  2018,master,true,Wed May 23 14:05:29  2018,Wed May 23 14:16:19  2018,Wed May 23 14:16:04  2018,HH-77585,Wed May 23 14:05:29  2018,635000,-1,650000,650000
382702771,Wed May 23 14:24:34  2018,HH-77585,true,Wed May 23 14:05:15  2018,Wed May 23 14:24:34  2018,Wed May 23 14:16:19  2018,master,Wed May 23 14:05:15  2018,664000,-1,1159000,1159000
382702771,Wed May 23 14:24:34  2018,master,true,Wed May 23 14:05:29  2018,Wed May 23 14:16:19  2018,Wed May 23 14:24:34  2018,HH-77585,Wed May 23 14:05:29  2018,1145000,495000,650000,650000
382702782,Wed May 23 14:24:35  2018,HH-77585,true,Wed May 23 14:05:15  2018,Wed May 23 14:24:34  2018,Wed May 23 14:24:35  2018,master,Wed May 23 14:05:15  2018,1160000,1000,1159000,1159000
382702782,Wed May 23 14:24:35  2018,master,true,Wed May 23 14:05:29  2018,Wed May 23 14:24:35  2018,Wed May 23 14:24:34  2018,HH-77585,Wed May 23 14:05:29  2018,1145000,-1,1146000,1146000
382709070,Wed May 23 14:36:29  2018,HH-77585,true,Wed May 23 14:05:15  2018,Wed May 23 14:36:29  2018,Wed May 23 14:24:35  2018,master,Wed May 23 14:05:15  2018,1160000,-1,1874000,1874000
382709070,Wed May 23 14:36:29  2018,master,true,Wed May 23 14:05:29  2018,Wed May 23 14:24:35  2018,Wed May 23 14:36:29  2018,HH-77585,Wed May 23 14:05:29  2018,1860000,714000,1146000,1146000
382709144,Wed May 23 14:36:37  2018,HH-77585,true,Wed May 23 14:05:15  2018,Wed May 23 14:36:29  2018,Wed May 23 14:36:37  2018,master,Wed May 23 14:05:15  2018,1882000,8000,1874000,1874000
382709144,Wed May 23 14:36:37  2018,master,true,Wed May 23 14:05:29  2018,Wed May 23 14:36:37  2018,Wed May 23 14:36:29  2018,HH-77585,Wed May 23 14:05:29  2018,1860000,-1,1868000,1868000
382710774,Wed May 23 14:40:13  2018,HH-77585,true,Wed May 23 14:05:15  2018,Wed May 23 14:36:29  2018,Wed May 23 14:40:13  2018,master,Wed May 23 14:05:15  2018,2098000,224000,1874000,1874000
382710774,Wed May 23 14:40:13  2018,master,true,Wed May 23 14:05:29  2018,Wed May 23 14:40:13  2018,Wed May 23 14:36:29  2018,HH-77585,Wed May 23 14:05:29  2018,1860000,-1,2084000,2084000
382710766,Wed May 23 14:40:53  2018,HH-77585,true,Wed May 23 14:40:53  2018,Wed May 23 14:40:53  2018,Wed May 23 14:40:13  2018,master,Wed May 23 14:05:15  2018,-1,-1,0,2138000
382710766,Wed May 23 14:40:53  2018,master,true,Wed May 23 14:05:29  2018,Wed May 23 14:40:13  2018,Wed May 23 14:40:53  2018,HH-77585,Wed May 23 14:05:29  2018,2124000,40000,2084000,2084000
382717657,Wed May 23 14:54:04  2018,HH-77585,true,Wed May 23 14:40:53  2018,Wed May 23 14:40:53  2018,Wed May 23 14:40:13  2018,master,Wed May 23 14:05:15  2018,-1,-1,0,2138000
382717657,Wed May 23 14:54:04  2018,master,true,Wed May 23 14:05:29  2018,Wed May 23 14:40:13  2018,Wed May 23 14:40:53  2018,HH-77585,Wed May 23 14:05:29  2018,2124000,40000,2084000,2084000
382717657,Wed May 23 14:54:04  2018,nuts-and-bolts-parent-3.6.3,true,Wed May 23 14:54:04  2018,Wed May 23 14:54:04  2018,Wed May 23 14:40:53  2018,HH-77585,Wed May 23 14:54:04  2018,-1,-1,0,0
382717717,Wed May 23 14:54:49  2018,HH-77585,true,Wed May 23 14:40:53  2018,Wed May 23 14:40:53  2018,Wed May 23 14:54:49  2018,master,Wed May 23 14:05:15  2018,836000,836000,0,2138000
382717717,Wed May 23 14:54:49  2018,master,true,Wed May 23 14:05:29  2018,Wed May 23 14:54:49  2018,Wed May 23 14:54:04  2018,nuts-and-bolts-parent-3.6.3,Wed May 23 14:05:29  2018,2915000,-1,2960000,2960000
382717717,Wed May 23 14:54:49  2018,nuts-and-bolts-parent-3.6.3,true,Wed May 23 14:54:04  2018,Wed May 23 14:54:04  2018,Wed May 23 14:54:49  2018,master,Wed May 23 14:54:04  2018,45000,45000,0,0
384762671,Mon May 28 14:14:14  2018,HH-77585,true,Wed May 23 14:40:53  2018,Wed May 23 14:40:53  2018,Wed May 23 14:54:49  2018,master,Wed May 23 14:05:15  2018,836000,836000,0,2138000
384762671,Mon May 28 14:14:14  2018,master,true,Wed May 23 14:05:29  2018,Wed May 23 14:54:49  2018,Wed May 23 14:54:04  2018,nuts-and-bolts-parent-3.6.3,Wed May 23 14:05:29  2018,2915000,-1,2960000,2960000
384762671,Mon May 28 14:14:14  2018,nuts-and-bolts-parent-3.6.3,true,Wed May 23 14:54:04  2018,Wed May 23 14:54:04  2018,Wed May 23 14:54:49  2018,master,Wed May 23 14:54:04  2018,45000,45000,0,0
384762671,Mon May 28 14:14:14  2018,HH-77884,true,Mon May 28 14:14:14  2018,Mon May 28 14:14:14  2018,Wed May 23 14:54:49  2018,master,Mon May 28 14:14:14  2018,-1,-1,0,0
384764411,Mon May 28 14:17:49  2018,HH-77585,true,Wed May 23 14:40:53  2018,Wed May 23 14:40:53  2018,Mon May 28 14:17:49  2018,HH-77884,Wed May 23 14:05:15  2018,430616000,430616000,0,2138000
384764411,Mon May 28 14:17:49  2018,master,true,Wed May 23 14:05:29  2018,Wed May 23 14:54:49  2018,Mon May 28 14:17:49  2018,HH-77884,Wed May 23 14:05:29  2018,432740000,429780000,2960000,2960000
384764411,Mon May 28 14:17:49  2018,nuts-and-bolts-parent-3.6.3,true,Wed May 23 14:54:04  2018,Wed May 23 14:54:04  2018,Mon May 28 14:17:49  2018,HH-77884,Wed May 23 14:54:04  2018,429825000,429825000,0,0
384764411,Mon May 28 14:17:49  2018,HH-77884,true,Mon May 28 14:14:14  2018,Mon May 28 14:17:49  2018,Wed May 23 14:54:49  2018,master,Mon May 28 14:14:14  2018,-1,-1,215000,215000
384765227,Mon May 28 14:19:55  2018,HH-77585,true,Wed May 23 14:40:53  2018,Wed May 23 14:40:53  2018,Mon May 28 14:19:55  2018,HH-77884,Wed May 23 14:05:15  2018,430742000,430742000,0,2138000
384765227,Mon May 28 14:19:55  2018,master,true,Wed May 23 14:05:29  2018,Wed May 23 14:54:49  2018,Mon May 28 14:19:55  2018,HH-77884,Wed May 23 14:05:29  2018,432866000,429906000,2960000,2960000
384765227,Mon May 28 14:19:55  2018,nuts-and-bolts-parent-3.6.3,true,Wed May 23 14:54:04  2018,Wed May 23 14:54:04  2018,Mon May 28 14:19:55  2018,HH-77884,Wed May 23 14:54:04  2018,429951000,429951000,0,0
384765227,Mon May 28 14:19:55  2018,HH-77884,true,Mon May 28 14:14:14  2018,Mon May 28 14:19:55  2018,Wed May 23 14:54:49  2018,master,Mon May 28 14:14:14  2018,-1,-1,341000,341000
385137796,Tue May 29 10:56:08  2018,HH-77585,true,Wed May 23 14:40:53  2018,Wed May 23 14:40:53  2018,Tue May 29 10:56:08  2018,master,Wed May 23 14:05:15  2018,504915000,504915000,0,2138000
385137796,Tue May 29 10:56:08  2018,master,true,Wed May 23 14:05:29  2018,Tue May 29 10:56:08  2018,Mon May 28 14:19:55  2018,HH-77884,Wed May 23 14:05:29  2018,432866000,-1,507039000,507039000
385137796,Tue May 29 10:56:08  2018,nuts-and-bolts-parent-3.6.3,true,Wed May 23 14:54:04  2018,Wed May 23 14:54:04  2018,Tue May 29 10:56:08  2018,master,Wed May 23 14:54:04  2018,504124000,504124000,0,0
385137796,Tue May 29 10:56:08  2018,HH-77884,true,Mon May 28 14:14:14  2018,Mon May 28 14:19:55  2018,Tue May 29 10:56:08  2018,master,Mon May 28 14:14:14  2018,74514000,74173000,341000,341000
385219050,Tue May 29 14:10:55  2018,HH-77585,true,Wed May 23 14:40:53  2018,Wed May 23 14:40:53  2018,Tue May 29 14:10:55  2018,HH-77884,Wed May 23 14:05:15  2018,516602000,516602000,0,2138000
385219050,Tue May 29 14:10:55  2018,master,true,Wed May 23 14:05:29  2018,Tue May 29 10:56:08  2018,Tue May 29 14:10:55  2018,HH-77884,Wed May 23 14:05:29  2018,518726000,11687000,507039000,507039000
385219050,Tue May 29 14:10:55  2018,nuts-and-bolts-parent-3.6.3,true,Wed May 23 14:54:04  2018,Wed May 23 14:54:04  2018,Tue May 29 14:10:55  2018,HH-77884,Wed May 23 14:54:04  2018,515811000,515811000,0,0
385219050,Tue May 29 14:10:55  2018,HH-77884,true,Mon May 28 14:14:14  2018,Tue May 29 14:10:55  2018,Tue May 29 10:56:08  2018,master,Mon May 28 14:14:14  2018,74514000,-1,86201000,86201000
385219048,Tue May 29 14:11:00  2018,HH-77585,true,Wed May 23 14:40:53  2018,Wed May 23 14:40:53  2018,Tue May 29 14:11:00  2018,master,Wed May 23 14:05:15  2018,516607000,516607000,0,2138000
385219048,Tue May 29 14:11:00  2018,master,true,Wed May 23 14:05:29  2018,Tue May 29 14:11:00  2018,Tue May 29 14:10:55  2018,HH-77884,Wed May 23 14:05:29  2018,518726000,-1,518731000,518731000
385219048,Tue May 29 14:11:00  2018,nuts-and-bolts-parent-3.6.3,true,Wed May 23 14:54:04  2018,Wed May 23 14:54:04  2018,Tue May 29 14:11:00  2018,master,Wed May 23 14:54:04  2018,515816000,515816000,0,0
385219048,Tue May 29 14:11:00  2018,HH-77884,true,Mon May 28 14:14:14  2018,Tue May 29 14:10:55  2018,Tue May 29 14:11:00  2018,master,Mon May 28 14:14:14  2018,86206000,5000,86201000,86201000
385581372,Wed May 30 08:43:53  2018,HH-77585,true,Wed May 23 14:40:53  2018,Wed May 23 14:40:53  2018,Wed May 30 08:43:53  2018,HH-77884,Wed May 23 14:05:15  2018,583380000,583380000,0,2138000
385581372,Wed May 30 08:43:53  2018,master,true,Wed May 23 14:05:29  2018,Tue May 29 14:11:00  2018,Wed May 30 08:43:53  2018,HH-77884,Wed May 23 14:05:29  2018,585504000,66773000,518731000,518731000
385581372,Wed May 30 08:43:53  2018,nuts-and-bolts-parent-3.6.3,true,Wed May 23 14:54:04  2018,Wed May 23 14:54:04  2018,Wed May 30 08:43:53  2018,HH-77884,Wed May 23 14:54:04  2018,582589000,582589000,0,0
385581372,Wed May 30 08:43:53  2018,HH-77884,true,Mon May 28 14:14:14  2018,Wed May 30 08:43:53  2018,Tue May 29 14:11:00  2018,master,Mon May 28 14:14:14  2018,86206000,-1,152979000,152979000
385581389,Wed May 30 08:43:58  2018,HH-77585,true,Wed May 23 14:40:53  2018,Wed May 23 14:40:53  2018,Wed May 30 08:43:58  2018,master,Wed May 23 14:05:15  2018,583385000,583385000,0,2138000
385581389,Wed May 30 08:43:58  2018,master,true,Wed May 23 14:05:29  2018,Wed May 30 08:43:58  2018,Wed May 30 08:43:53  2018,HH-77884,Wed May 23 14:05:29  2018,585504000,-1,585509000,585509000
385581389,Wed May 30 08:43:58  2018,nuts-and-bolts-parent-3.6.3,true,Wed May 23 14:54:04  2018,Wed May 23 14:54:04  2018,Wed May 30 08:43:58  2018,master,Wed May 23 14:54:04  2018,582594000,582594000,0,0
385581389,Wed May 30 08:43:58  2018,HH-77884,true,Mon May 28 14:14:14  2018,Wed May 30 08:43:53  2018,Wed May 30 08:43:58  2018,master,Mon May 28 14:14:14  2018,152984000,5000,152979000,152979000
386195189,Thu May 31 14:06:02  2018,HH-77585,true,Wed May 23 14:40:53  2018,Wed May 23 14:40:53  2018,Thu May 31 14:06:02  2018,master,Wed May 23 14:05:15  2018,689109000,689109000,0,2138000
386195189,Thu May 31 14:06:02  2018,master,true,Wed May 23 14:05:29  2018,Thu May 31 14:06:02  2018,Wed May 30 08:43:53  2018,HH-77884,Wed May 23 14:05:29  2018,585504000,-1,691233000,691233000
386195189,Thu May 31 14:06:02  2018,nuts-and-bolts-parent-3.6.3,true,Wed May 23 14:54:04  2018,Wed May 23 14:54:04  2018,Thu May 31 14:06:02  2018,master,Wed May 23 14:54:04  2018,688318000,688318000,0,0
386195189,Thu May 31 14:06:02  2018,HH-77884,true,Mon May 28 14:14:14  2018,Wed May 30 08:43:53  2018,Thu May 31 14:06:02  2018,master,Mon May 28 14:14:14  2018,258708000,105729000,152979000,152979000
386195175,Thu May 31 14:06:13  2018,HH-77585,true,Wed May 23 14:40:53  2018,Wed May 23 14:40:53  2018,Thu May 31 14:06:13  2018,HH-77884,Wed May 23 14:05:15  2018,689120000,689120000,0,2138000
386195175,Thu May 31 14:06:13  2018,master,true,Wed May 23 14:05:29  2018,Thu May 31 14:06:02  2018,Thu May 31 14:06:13  2018,HH-77884,Wed May 23 14:05:29  2018,691244000,11000,691233000,691233000
386195175,Thu May 31 14:06:13  2018,nuts-and-bolts-parent-3.6.3,true,Wed May 23 14:54:04  2018,Wed May 23 14:54:04  2018,Thu May 31 14:06:13  2018,HH-77884,Wed May 23 14:54:04  2018,688329000,688329000,0,0
386195175,Thu May 31 14:06:13  2018,HH-77884,true,Mon May 28 14:14:14  2018,Thu May 31 14:06:13  2018,Thu May 31 14:06:02  2018,master,Mon May 28 14:14:14  2018,258708000,-1,258719000,258719000
386197292,Thu May 31 14:10:59  2018,HH-77585,true,Wed May 23 14:40:53  2018,Wed May 23 14:40:53  2018,Thu May 31 14:10:59  2018,HH-77884,Wed May 23 14:05:15  2018,689406000,689406000,0,2138000
386197292,Thu May 31 14:10:59  2018,master,true,Wed May 23 14:05:29  2018,Thu May 31 14:06:02  2018,Thu May 31 14:10:59  2018,HH-77884,Wed May 23 14:05:29  2018,691530000,297000,691233000,691233000
386197292,Thu May 31 14:10:59  2018,nuts-and-bolts-parent-3.6.3,true,Wed May 23 14:54:04  2018,Wed May 23 14:54:04  2018,Thu May 31 14:10:59  2018,HH-77884,Wed May 23 14:54:04  2018,688615000,688615000,0,0
386197292,Thu May 31 14:10:59  2018,HH-77884,true,Mon May 28 14:14:14  2018,Thu May 31 14:10:59  2018,Thu May 31 14:06:02  2018,master,Mon May 28 14:14:14  2018,258708000,-1,259005000,259005000
386197310,Thu May 31 14:11:00  2018,HH-77585,true,Wed May 23 14:40:53  2018,Wed May 23 14:40:53  2018,Thu May 31 14:11:00  2018,master,Wed May 23 14:05:15  2018,689407000,689407000,0,2138000
386197310,Thu May 31 14:11:00  2018,master,true,Wed May 23 14:05:29  2018,Thu May 31 14:11:00  2018,Thu May 31 14:10:59  2018,HH-77884,Wed May 23 14:05:29  2018,691530000,-1,691531000,691531000
386197310,Thu May 31 14:11:00  2018,nuts-and-bolts-parent-3.6.3,true,Wed May 23 14:54:04  2018,Wed May 23 14:54:04  2018,Thu May 31 14:11:00  2018,master,Wed May 23 14:54:04  2018,688616000,688616000,0,0
386197310,Thu May 31 14:11:00  2018,HH-77884,true,Mon May 28 14:14:14  2018,Thu May 31 14:10:59  2018,Thu May 31 14:11:00  2018,master,Mon May 28 14:14:14  2018,259006000,1000,259005000,259005000
386198883,Thu May 31 14:14:20  2018,HH-77585,true,Wed May 23 14:40:53  2018,Wed May 23 14:40:53  2018,Thu May 31 14:14:20  2018,master,Wed May 23 14:05:15  2018,689607000,689607000,0,2138000
386198883,Thu May 31 14:14:20  2018,master,true,Wed May 23 14:05:29  2018,Thu May 31 14:14:20  2018,Thu May 31 14:10:59  2018,HH-77884,Wed May 23 14:05:29  2018,691530000,-1,691731000,691731000
386198883,Thu May 31 14:14:20  2018,nuts-and-bolts-parent-3.6.3,true,Wed May 23 14:54:04  2018,Wed May 23 14:54:04  2018,Thu May 31 14:14:20  2018,master,Wed May 23 14:54:04  2018,688816000,688816000,0,0
386198883,Thu May 31 14:14:20  2018,HH-77884,true,Mon May 28 14:14:14  2018,Thu May 31 14:10:59  2018,Thu May 31 14:14:20  2018,master,Mon May 28 14:14:14  2018,259206000,201000,259005000,259005000
386203830,Thu May 31 14:25:01  2018,HH-77585,true,Wed May 23 14:40:53  2018,Wed May 23 14:40:53  2018,Thu May 31 14:14:20  2018,master,Wed May 23 14:05:15  2018,689607000,689607000,0,2138000
386203830,Thu May 31 14:25:01  2018,master,true,Wed May 23 14:05:29  2018,Thu May 31 14:14:20  2018,Thu May 31 14:10:59  2018,HH-77884,Wed May 23 14:05:29  2018,691530000,-1,691731000,691731000
386203830,Thu May 31 14:25:01  2018,nuts-and-bolts-parent-3.6.3,true,Wed May 23 14:54:04  2018,Wed May 23 14:54:04  2018,Thu May 31 14:14:20  2018,master,Wed May 23 14:54:04  2018,688816000,688816000,0,0
386203830,Thu May 31 14:25:01  2018,HH-77884,true,Mon May 28 14:14:14  2018,Thu May 31 14:10:59  2018,Thu May 31 14:14:20  2018,master,Mon May 28 14:14:14  2018,259206000,201000,259005000,259005000
386203830,Thu May 31 14:25:01  2018,nuts-and-bolts-parent-3.6.4,true,Thu May 31 14:25:01  2018,Thu May 31 14:25:01  2018,Thu May 31 14:14:20  2018,master,Thu May 31 14:25:01  2018,-1,-1,0,0
389639932,Fri Jun 08 09:32:36  2018,HH-77585,true,Wed May 23 14:40:53  2018,Wed May 23 14:40:53  2018,Thu May 31 14:14:20  2018,master,Wed May 23 14:05:15  2018,689607000,689607000,0,2138000
389639932,Fri Jun 08 09:32:36  2018,master,true,Wed May 23 14:05:29  2018,Thu May 31 14:14:20  2018,Thu May 31 14:10:59  2018,HH-77884,Wed May 23 14:05:29  2018,691530000,-1,691731000,691731000
389639932,Fri Jun 08 09:32:36  2018,nuts-and-bolts-parent-3.6.3,true,Wed May 23 14:54:04  2018,Wed May 23 14:54:04  2018,Thu May 31 14:14:20  2018,master,Wed May 23 14:54:04  2018,688816000,688816000,0,0
389639932,Fri Jun 08 09:32:36  2018,HH-77884,true,Mon May 28 14:14:14  2018,Thu May 31 14:10:59  2018,Thu May 31 14:14:20  2018,master,Mon May 28 14:14:14  2018,259206000,201000,259005000,259005000
389639932,Fri Jun 08 09:32:36  2018,nuts-and-bolts-parent-3.6.4,true,Thu May 31 14:25:01  2018,Thu May 31 14:25:01  2018,Thu May 31 14:14:20  2018,master,Thu May 31 14:25:01  2018,-1,-1,0,0
389639932,Fri Jun 08 09:32:36  2018,HH-79813,true,Fri Jun 08 09:32:36  2018,Fri Jun 08 09:32:36  2018,Thu May 31 14:25:01  2018,nuts-and-bolts-parent-3.6.4,Fri Jun 08 09:32:36  2018,-1,-1,0,0
389640318,Fri Jun 08 09:33:45  2018,HH-77585,true,Wed May 23 14:40:53  2018,Wed May 23 14:40:53  2018,Fri Jun 08 09:33:45  2018,HH-79813,Wed May 23 14:05:15  2018,1363972000,1363972000,0,2138000
389640318,Fri Jun 08 09:33:45  2018,master,true,Wed May 23 14:05:29  2018,Thu May 31 14:14:20  2018,Fri Jun 08 09:33:45  2018,HH-79813,Wed May 23 14:05:29  2018,1366096000,674365000,691731000,691731000
389640318,Fri Jun 08 09:33:45  2018,nuts-and-bolts-parent-3.6.3,true,Wed May 23 14:54:04  2018,Wed May 23 14:54:04  2018,Fri Jun 08 09:33:45  2018,HH-79813,Wed May 23 14:54:04  2018,1363181000,1363181000,0,0
389640318,Fri Jun 08 09:33:45  2018,HH-77884,true,Mon May 28 14:14:14  2018,Thu May 31 14:10:59  2018,Fri Jun 08 09:33:45  2018,HH-79813,Mon May 28 14:14:14  2018,933571000,674566000,259005000,259005000
389640318,Fri Jun 08 09:33:45  2018,nuts-and-bolts-parent-3.6.4,true,Thu May 31 14:25:01  2018,Thu May 31 14:25:01  2018,Fri Jun 08 09:33:45  2018,HH-79813,Thu May 31 14:25:01  2018,673724000,673724000,0,0
389640318,Fri Jun 08 09:33:45  2018,HH-79813,true,Fri Jun 08 09:33:45  2018,Fri Jun 08 09:33:45  2018,Thu May 31 14:25:01  2018,nuts-and-bolts-parent-3.6.4,Fri Jun 08 09:32:36  2018,-1,-1,0,69000
389640486,Fri Jun 08 09:33:58  2018,HH-77585,true,Wed May 23 14:40:53  2018,Wed May 23 14:40:53  2018,Fri Jun 08 09:33:58  2018,master,Wed May 23 14:05:15  2018,1363985000,1363985000,0,2138000
389640486,Fri Jun 08 09:33:58  2018,master,true,Wed May 23 14:05:29  2018,Fri Jun 08 09:33:58  2018,Fri Jun 08 09:33:45  2018,HH-79813,Wed May 23 14:05:29  2018,1366096000,-1,1366109000,1366109000
389640486,Fri Jun 08 09:33:58  2018,nuts-and-bolts-parent-3.6.3,true,Wed May 23 14:54:04  2018,Wed May 23 14:54:04  2018,Fri Jun 08 09:33:58  2018,master,Wed May 23 14:54:04  2018,1363194000,1363194000,0,0
389640486,Fri Jun 08 09:33:58  2018,HH-77884,true,Mon May 28 14:14:14  2018,Thu May 31 14:10:59  2018,Fri Jun 08 09:33:58  2018,master,Mon May 28 14:14:14  2018,933584000,674579000,259005000,259005000
389640486,Fri Jun 08 09:33:58  2018,nuts-and-bolts-parent-3.6.4,true,Thu May 31 14:25:01  2018,Thu May 31 14:25:01  2018,Fri Jun 08 09:33:58  2018,master,Thu May 31 14:25:01  2018,673737000,673737000,0,0
389640486,Fri Jun 08 09:33:58  2018,HH-79813,true,Fri Jun 08 09:33:45  2018,Fri Jun 08 09:33:45  2018,Fri Jun 08 09:33:58  2018,master,Fri Jun 08 09:32:36  2018,13000,13000,0,69000
389661558,Fri Jun 08 10:34:38  2018,HH-77585,true,Wed May 23 14:40:53  2018,Wed May 23 14:40:53  2018,Fri Jun 08 09:33:58  2018,master,Wed May 23 14:05:15  2018,1363985000,1363985000,0,2138000
389661558,Fri Jun 08 10:34:38  2018,master,true,Wed May 23 14:05:29  2018,Fri Jun 08 09:33:58  2018,Fri Jun 08 09:33:45  2018,HH-79813,Wed May 23 14:05:29  2018,1366096000,-1,1366109000,1366109000
