build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
339092948,Thu Feb 08 17:37:09  2018,master,true,Thu Feb 08 17:37:09  2018,Thu Feb 08 17:37:09  2018,null,null,Thu Feb 08 17:37:09  2018,-1,-1,0,0
339388189,Fri Feb 09 10:11:46  2018,master,true,Thu Feb 08 17:37:09  2018,Fri Feb 09 10:11:46  2018,null,null,Thu Feb 08 17:37:09  2018,-1,-1,59677000,59677000
339394955,Fri Feb 09 10:31:17  2018,master,true,Thu Feb 08 17:37:09  2018,Fri Feb 09 10:31:17  2018,null,null,Thu Feb 08 17:37:09  2018,-1,-1,60848000,60848000
339452600,Fri Feb 09 13:24:19  2018,master,true,Thu Feb 08 17:37:09  2018,Fri Feb 09 13:24:19  2018,null,null,Thu Feb 08 17:37:09  2018,-1,-1,71230000,71230000
339485794,Fri Feb 09 14:46:13  2018,master,true,Thu Feb 08 17:37:09  2018,Fri Feb 09 14:46:13  2018,null,null,Thu Feb 08 17:37:09  2018,-1,-1,76144000,76144000
339512172,Fri Feb 09 15:39:08  2018,master,true,Thu Feb 08 17:37:09  2018,Fri Feb 09 15:39:08  2018,null,null,Thu Feb 08 17:37:09  2018,-1,-1,79319000,79319000
340879484,Tue Feb 13 10:14:30  2018,master,true,Thu Feb 08 17:37:09  2018,Tue Feb 13 10:14:30  2018,null,null,Thu Feb 08 17:37:09  2018,-1,-1,405441000,405441000
340879685,Tue Feb 13 10:15:15  2018,master,true,Thu Feb 08 17:37:09  2018,Tue Feb 13 10:15:15  2018,null,null,Thu Feb 08 17:37:09  2018,-1,-1,405486000,405486000
340880195,Tue Feb 13 10:20:14  2018,master,true,Thu Feb 08 17:37:09  2018,Tue Feb 13 10:20:14  2018,null,null,Thu Feb 08 17:37:09  2018,-1,-1,405785000,405785000
340949985,Tue Feb 13 13:38:20  2018,master,true,Thu Feb 08 17:37:09  2018,Tue Feb 13 13:38:20  2018,null,null,Thu Feb 08 17:37:09  2018,-1,-1,417671000,417671000
