build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
338061912,Tue Feb 06 15:36:36  2018,master,true,Tue Feb 06 15:36:36  2018,Tue Feb 06 15:36:36  2018,null,null,Tue Feb 06 15:36:36  2018,-1,-1,0,0
338056119,Tue Feb 06 15:37:15  2018,master,true,Tue Feb 06 15:36:36  2018,Tue Feb 06 15:37:15  2018,null,null,Tue Feb 06 15:36:36  2018,-1,-1,39000,39000
338063458,Tue Feb 06 15:39:37  2018,master,true,Tue Feb 06 15:36:36  2018,Tue Feb 06 15:39:37  2018,null,null,Tue Feb 06 15:36:36  2018,-1,-1,181000,181000
338066982,Tue Feb 06 15:46:31  2018,master,true,Tue Feb 06 15:36:36  2018,Tue Feb 06 15:46:31  2018,null,null,Tue Feb 06 15:36:36  2018,-1,-1,595000,595000
338073855,Tue Feb 06 16:01:17  2018,master,true,Tue Feb 06 15:36:36  2018,Tue Feb 06 16:01:17  2018,null,null,Tue Feb 06 15:36:36  2018,-1,-1,1481000,1481000
338085516,Tue Feb 06 16:25:21  2018,master,true,Tue Feb 06 15:36:36  2018,Tue Feb 06 16:25:21  2018,null,null,Tue Feb 06 15:36:36  2018,-1,-1,2925000,2925000
338089460,Tue Feb 06 16:33:20  2018,master,true,Tue Feb 06 15:36:36  2018,Tue Feb 06 16:33:20  2018,null,null,Tue Feb 06 15:36:36  2018,-1,-1,3404000,3404000
338090640,Tue Feb 06 16:35:51  2018,master,true,Tue Feb 06 15:36:36  2018,Tue Feb 06 16:35:51  2018,null,null,Tue Feb 06 15:36:36  2018,-1,-1,3555000,3555000
338091257,Tue Feb 06 16:37:26  2018,master,true,Tue Feb 06 15:36:36  2018,Tue Feb 06 16:37:26  2018,null,null,Tue Feb 06 15:36:36  2018,-1,-1,3650000,3650000
338104849,Tue Feb 06 17:07:12  2018,master,true,Tue Feb 06 15:36:36  2018,Tue Feb 06 17:07:12  2018,null,null,Tue Feb 06 15:36:36  2018,-1,-1,5436000,5436000
338112600,Tue Feb 06 17:24:23  2018,master,true,Tue Feb 06 15:36:36  2018,Tue Feb 06 17:24:23  2018,null,null,Tue Feb 06 15:36:36  2018,-1,-1,6467000,6467000
