build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
323703888,Mon Jan 01 02:22:26  2018,master,true,Mon Jan 01 02:22:26  2018,Mon Jan 01 02:22:26  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,0,0
323991377,Tue Jan 02 03:29:09  2018,master,true,Mon Jan 01 02:22:26  2018,Tue Jan 02 03:29:09  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,90403000,90403000
324430089,Wed Jan 03 02:23:40  2018,master,true,Mon Jan 01 02:22:26  2018,Wed Jan 03 02:23:40  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,172874000,172874000
324873896,Thu Jan 04 02:24:03  2018,master,true,Mon Jan 01 02:22:26  2018,Thu Jan 04 02:24:03  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,259297000,259297000
325292637,Fri Jan 05 02:24:45  2018,master,true,Mon Jan 01 02:22:26  2018,Fri Jan 05 02:24:45  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,345739000,345739000
325427706,Fri Jan 05 12:39:12  2018,master,true,Mon Jan 01 02:22:26  2018,Fri Jan 05 12:39:12  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,382606000,382606000
325688508,Sat Jan 06 02:25:41  2018,master,true,Mon Jan 01 02:22:26  2018,Sat Jan 06 02:25:41  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,432195000,432195000
325937765,Sun Jan 07 02:26:34  2018,master,true,Mon Jan 01 02:22:26  2018,Sun Jan 07 02:26:34  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,518648000,518648000
326207102,Mon Jan 08 02:27:07  2018,master,true,Mon Jan 01 02:22:26  2018,Mon Jan 08 02:27:07  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,605081000,605081000
326647619,Tue Jan 09 02:27:33  2018,master,true,Mon Jan 01 02:22:26  2018,Tue Jan 09 02:27:33  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,691507000,691507000
327076070,Wed Jan 10 02:27:44  2018,master,true,Mon Jan 01 02:22:26  2018,Wed Jan 10 02:27:44  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,777918000,777918000
327508768,Thu Jan 11 02:28:25  2018,master,true,Mon Jan 01 02:22:26  2018,Thu Jan 11 02:28:25  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,864359000,864359000
327955022,Fri Jan 12 02:28:40  2018,master,true,Mon Jan 01 02:22:26  2018,Fri Jan 12 02:28:40  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,950774000,950774000
328358458,Sat Jan 13 02:29:12  2018,master,true,Mon Jan 01 02:22:26  2018,Sat Jan 13 02:29:12  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,1037206000,1037206000
328615903,Sun Jan 14 02:29:52  2018,master,true,Mon Jan 01 02:22:26  2018,Sun Jan 14 02:29:52  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,1123646000,1123646000
328892218,Mon Jan 15 02:30:30  2018,master,true,Mon Jan 01 02:22:26  2018,Mon Jan 15 02:30:30  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,1210084000,1210084000
329300622,Tue Jan 16 02:31:15  2018,master,true,Mon Jan 01 02:22:26  2018,Tue Jan 16 02:31:15  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,1296529000,1296529000
329719940,Wed Jan 17 10:20:30  2018,master,true,Mon Jan 01 02:22:26  2018,Wed Jan 17 10:20:30  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,1411084000,1411084000
330169331,Thu Jan 18 02:31:34  2018,master,true,Mon Jan 01 02:22:26  2018,Thu Jan 18 02:31:34  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,1469348000,1469348000
330642942,Fri Jan 19 02:31:52  2018,master,true,Mon Jan 01 02:22:26  2018,Fri Jan 19 02:31:52  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,1555766000,1555766000
331080136,Sat Jan 20 02:33:08  2018,master,true,Mon Jan 01 02:22:26  2018,Sat Jan 20 02:33:08  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,1642242000,1642242000
331357775,Sun Jan 21 02:33:10  2018,master,true,Mon Jan 01 02:22:26  2018,Sun Jan 21 02:33:10  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,1728644000,1728644000
331633348,Mon Jan 22 02:33:58  2018,master,true,Mon Jan 01 02:22:26  2018,Mon Jan 22 02:33:58  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,1815092000,1815092000
332111221,Tue Jan 23 02:34:20  2018,master,true,Mon Jan 01 02:22:26  2018,Tue Jan 23 02:34:20  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,1901514000,1901514000
332604717,Wed Jan 24 02:34:52  2018,master,true,Mon Jan 01 02:22:26  2018,Wed Jan 24 02:34:52  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,1987946000,1987946000
333089680,Thu Jan 25 02:35:24  2018,master,true,Mon Jan 01 02:22:26  2018,Thu Jan 25 02:35:24  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,2074378000,2074378000
333556706,Fri Jan 26 02:35:43  2018,master,true,Mon Jan 01 02:22:26  2018,Fri Jan 26 02:35:43  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,2160797000,2160797000
334000631,Sat Jan 27 02:35:56  2018,master,true,Mon Jan 01 02:22:26  2018,Sat Jan 27 02:35:56  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,2247210000,2247210000
334264099,Sun Jan 28 02:36:05  2018,master,true,Mon Jan 01 02:22:26  2018,Sun Jan 28 02:36:05  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,2333619000,2333619000
334540275,Mon Jan 29 02:36:38  2018,master,true,Mon Jan 01 02:22:26  2018,Mon Jan 29 02:36:38  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,2420052000,2420052000
334571040,Mon Jan 29 05:50:18  2018,master,true,Mon Jan 01 02:22:26  2018,Mon Jan 29 05:50:18  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,2431672000,2431672000
334987465,Tue Jan 30 02:36:51  2018,master,true,Mon Jan 01 02:22:26  2018,Tue Jan 30 02:36:51  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,2506465000,2506465000
335446617,Wed Jan 31 02:37:42  2018,master,true,Mon Jan 01 02:22:26  2018,Wed Jan 31 02:37:42  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,2592916000,2592916000
335926969,Thu Feb 01 02:38:31  2018,master,true,Mon Jan 01 02:22:26  2018,Thu Feb 01 02:38:31  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,2679365000,2679365000
336388827,Fri Feb 02 02:38:58  2018,master,true,Mon Jan 01 02:22:26  2018,Fri Feb 02 02:38:58  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,2765792000,2765792000
336814128,Sat Feb 03 02:39:54  2018,master,true,Mon Jan 01 02:22:26  2018,Sat Feb 03 02:39:54  2018,null,null,Mon Jan 01 02:22:26  2018,-1,-1,2852248000,2852248000
