build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
324119209,Tue Jan 02 13:08:18  2018,master,true,Tue Jan 02 13:08:18  2018,Tue Jan 02 13:08:18  2018,null,null,Tue Jan 02 13:08:18  2018,-1,-1,0,0
324596744,Wed Jan 03 14:21:33  2018,master,true,Tue Jan 02 13:08:18  2018,Wed Jan 03 14:21:33  2018,null,null,Tue Jan 02 13:08:18  2018,-1,-1,90795000,90795000
325010409,Thu Jan 04 12:38:54  2018,master,true,Tue Jan 02 13:08:18  2018,Thu Jan 04 12:38:54  2018,null,null,Tue Jan 02 13:08:18  2018,-1,-1,171036000,171036000
325041646,Thu Jan 04 14:13:57  2018,master,true,Tue Jan 02 13:08:18  2018,Thu Jan 04 14:13:57  2018,null,null,Tue Jan 02 13:08:18  2018,-1,-1,176739000,176739000
326254376,Mon Jan 08 07:29:13  2018,master,true,Tue Jan 02 13:08:18  2018,Mon Jan 08 07:29:13  2018,null,null,Tue Jan 02 13:08:18  2018,-1,-1,498055000,498055000
326332454,Mon Jan 08 12:04:41  2018,master,true,Tue Jan 02 13:08:18  2018,Mon Jan 08 12:04:41  2018,null,null,Tue Jan 02 13:08:18  2018,-1,-1,514583000,514583000
326616996,Tue Jan 09 00:14:34  2018,master,true,Tue Jan 02 13:08:18  2018,Mon Jan 08 12:04:41  2018,null,null,Tue Jan 02 13:08:18  2018,-1,-1,514583000,514583000
326616996,Tue Jan 09 00:14:34  2018,javaDoc,true,Tue Jan 09 00:14:34  2018,Tue Jan 09 00:14:34  2018,Mon Jan 08 12:04:41  2018,master,Tue Jan 09 00:14:34  2018,-1,-1,0,0
328675086,Sun Jan 14 10:13:05  2018,master,true,Tue Jan 02 13:08:18  2018,Mon Jan 08 12:04:41  2018,Sun Jan 14 10:13:05  2018,javaDoc,Tue Jan 02 13:08:18  2018,1026287000,511704000,514583000,514583000
328675086,Sun Jan 14 10:13:05  2018,javaDoc,true,Tue Jan 09 00:14:34  2018,Sun Jan 14 10:13:05  2018,Mon Jan 08 12:04:41  2018,master,Tue Jan 09 00:14:34  2018,-1,-1,467911000,467911000
334303822,Sun Jan 28 08:18:40  2018,master,true,Tue Jan 02 13:08:18  2018,Mon Jan 08 12:04:41  2018,Sun Jan 14 10:13:05  2018,javaDoc,Tue Jan 02 13:08:18  2018,1026287000,511704000,514583000,514583000
334303822,Sun Jan 28 08:18:40  2018,javaDoc,true,Tue Jan 09 00:14:34  2018,Sun Jan 14 10:13:05  2018,Mon Jan 08 12:04:41  2018,master,Tue Jan 09 00:14:34  2018,-1,-1,467911000,467911000
334303822,Sun Jan 28 08:18:40  2018,temp,true,Sun Jan 28 08:18:40  2018,Sun Jan 28 08:18:40  2018,Sun Jan 14 10:13:05  2018,javaDoc,Sun Jan 28 08:18:40  2018,-1,-1,0,0
334304195,Sun Jan 28 08:41:15  2018,master,true,Tue Jan 02 13:08:18  2018,Sun Jan 28 08:41:15  2018,Sun Jan 28 08:18:40  2018,temp,Tue Jan 02 13:08:18  2018,2229022000,-1,2230377000,2230377000
334304195,Sun Jan 28 08:41:15  2018,javaDoc,true,Tue Jan 09 00:14:34  2018,Sun Jan 14 10:13:05  2018,Sun Jan 28 08:41:15  2018,master,Tue Jan 09 00:14:34  2018,1672001000,1204090000,467911000,467911000
