build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
326894259,Tue Jan 09 17:11:33  2018,master,true,Tue Jan 09 17:11:33  2018,Tue Jan 09 17:11:33  2018,null,null,Tue Jan 09 17:11:33  2018,-1,-1,0,0
326899927,Tue Jan 09 17:37:21  2018,master,true,Tue Jan 09 17:11:33  2018,Tue Jan 09 17:37:21  2018,null,null,Tue Jan 09 17:11:33  2018,-1,-1,1548000,1548000
320136738,Tue Jan 09 17:59:16  2018,master,true,Tue Jan 09 17:11:33  2018,Tue Jan 09 17:59:16  2018,null,null,Tue Jan 09 17:11:33  2018,-1,-1,2863000,2863000
327030353,Tue Jan 09 23:02:51  2018,master,true,Tue Jan 09 17:11:33  2018,Tue Jan 09 23:02:51  2018,null,null,Tue Jan 09 17:11:33  2018,-1,-1,21078000,21078000
327009952,Tue Jan 09 23:04:11  2018,master,true,Tue Jan 09 17:11:33  2018,Tue Jan 09 23:04:11  2018,null,null,Tue Jan 09 17:11:33  2018,-1,-1,21158000,21158000
327137695,Wed Jan 10 08:29:54  2018,master,true,Tue Jan 09 17:11:33  2018,Wed Jan 10 08:29:54  2018,null,null,Tue Jan 09 17:11:33  2018,-1,-1,55101000,55101000
327147111,Wed Jan 10 22:56:06  2018,master,true,Tue Jan 09 17:11:33  2018,Wed Jan 10 22:56:06  2018,null,null,Tue Jan 09 17:11:33  2018,-1,-1,107073000,107073000
327437507,Thu Jan 11 09:30:58  2018,master,true,Tue Jan 09 17:11:33  2018,Thu Jan 11 09:30:58  2018,null,null,Tue Jan 09 17:11:33  2018,-1,-1,145165000,145165000
327794525,Thu Jan 11 18:02:14  2018,master,true,Tue Jan 09 17:11:33  2018,Thu Jan 11 18:02:14  2018,null,null,Tue Jan 09 17:11:33  2018,-1,-1,175841000,175841000
327890697,Thu Jan 11 22:10:07  2018,master,true,Tue Jan 09 17:11:33  2018,Thu Jan 11 22:10:07  2018,null,null,Tue Jan 09 17:11:33  2018,-1,-1,190714000,190714000
327924073,Fri Jan 12 00:01:37  2018,master,true,Tue Jan 09 17:11:33  2018,Fri Jan 12 00:01:37  2018,null,null,Tue Jan 09 17:11:33  2018,-1,-1,197404000,197404000
327925016,Fri Jan 12 00:05:00  2018,master,true,Tue Jan 09 17:11:33  2018,Fri Jan 12 00:05:00  2018,null,null,Tue Jan 09 17:11:33  2018,-1,-1,197607000,197607000
327797581,Fri Jan 12 09:47:22  2018,master,true,Tue Jan 09 17:11:33  2018,Fri Jan 12 09:47:22  2018,null,null,Tue Jan 09 17:11:33  2018,-1,-1,232549000,232549000
328075302,Fri Jan 12 11:24:40  2018,master,true,Tue Jan 09 17:11:33  2018,Fri Jan 12 11:24:40  2018,null,null,Tue Jan 09 17:11:33  2018,-1,-1,238387000,238387000
328530127,Sat Jan 13 19:22:24  2018,master,true,Tue Jan 09 17:11:33  2018,Sat Jan 13 19:22:24  2018,null,null,Tue Jan 09 17:11:33  2018,-1,-1,353451000,353451000
329975574,Wed Jan 17 17:19:59  2018,master,true,Tue Jan 09 17:11:33  2018,Wed Jan 17 17:19:59  2018,null,null,Tue Jan 09 17:11:33  2018,-1,-1,691706000,691706000
329996950,Wed Jan 17 18:09:43  2018,master,true,Tue Jan 09 17:11:33  2018,Wed Jan 17 18:09:43  2018,null,null,Tue Jan 09 17:11:33  2018,-1,-1,694690000,694690000
330000100,Wed Jan 17 18:17:49  2018,master,true,Tue Jan 09 17:11:33  2018,Wed Jan 17 18:17:49  2018,null,null,Tue Jan 09 17:11:33  2018,-1,-1,695176000,695176000
330010302,Wed Jan 17 18:42:36  2018,master,true,Tue Jan 09 17:11:33  2018,Wed Jan 17 18:42:36  2018,null,null,Tue Jan 09 17:11:33  2018,-1,-1,696663000,696663000
330299759,Thu Jan 18 10:49:36  2018,master,true,Tue Jan 09 17:11:33  2018,Thu Jan 18 10:49:36  2018,null,null,Tue Jan 09 17:11:33  2018,-1,-1,754683000,754683000
330064980,Thu Jan 18 13:34:01  2018,master,true,Tue Jan 09 17:11:33  2018,Thu Jan 18 13:34:01  2018,null,null,Tue Jan 09 17:11:33  2018,-1,-1,764548000,764548000
330357730,Thu Jan 18 13:35:38  2018,master,true,Tue Jan 09 17:11:33  2018,Thu Jan 18 13:35:38  2018,null,null,Tue Jan 09 17:11:33  2018,-1,-1,764645000,764645000
330867776,Fri Jan 19 15:37:23  2018,master,true,Tue Jan 09 17:11:33  2018,Fri Jan 19 15:37:23  2018,null,null,Tue Jan 09 17:11:33  2018,-1,-1,858350000,858350000
330913634,Fri Jan 19 17:22:37  2018,master,true,Tue Jan 09 17:11:33  2018,Fri Jan 19 17:22:37  2018,null,null,Tue Jan 09 17:11:33  2018,-1,-1,864664000,864664000
