build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
325623203,Fri Jan 05 21:45:12  2018,master,true,Fri Jan 05 21:45:12  2018,Fri Jan 05 21:45:12  2018,null,null,Fri Jan 05 21:45:12  2018,-1,-1,0,0
326738613,Tue Jan 09 09:49:09  2018,master,true,Fri Jan 05 21:45:12  2018,Tue Jan 09 09:49:09  2018,null,null,Fri Jan 05 21:45:12  2018,-1,-1,302637000,302637000
327164330,Wed Jan 10 10:04:09  2018,master,true,Fri Jan 05 21:45:12  2018,Wed Jan 10 10:04:09  2018,null,null,Fri Jan 05 21:45:12  2018,-1,-1,389937000,389937000
327248039,Wed Jan 10 14:18:54  2018,master,true,Fri Jan 05 21:45:12  2018,Wed Jan 10 14:18:54  2018,null,null,Fri Jan 05 21:45:12  2018,-1,-1,405222000,405222000
329517647,Tue Jan 16 15:29:28  2018,master,true,Fri Jan 05 21:45:12  2018,Tue Jan 16 15:29:28  2018,null,null,Fri Jan 05 21:45:12  2018,-1,-1,927856000,927856000
334623766,Mon Jan 29 09:33:32  2018,master,true,Fri Jan 05 21:45:12  2018,Mon Jan 29 09:33:32  2018,null,null,Fri Jan 05 21:45:12  2018,-1,-1,2029700000,2029700000
334629316,Mon Jan 29 09:52:20  2018,master,true,Fri Jan 05 21:45:12  2018,Mon Jan 29 09:52:20  2018,null,null,Fri Jan 05 21:45:12  2018,-1,-1,2030828000,2030828000
334645489,Mon Jan 29 10:42:03  2018,master,true,Fri Jan 05 21:45:12  2018,Mon Jan 29 10:42:03  2018,null,null,Fri Jan 05 21:45:12  2018,-1,-1,2033811000,2033811000
334657969,Mon Jan 29 11:18:51  2018,master,true,Fri Jan 05 21:45:12  2018,Mon Jan 29 11:18:51  2018,null,null,Fri Jan 05 21:45:12  2018,-1,-1,2036019000,2036019000
338022086,Tue Feb 06 14:04:00  2018,master,true,Fri Jan 05 21:45:12  2018,Tue Feb 06 14:04:00  2018,null,null,Fri Jan 05 21:45:12  2018,-1,-1,2737128000,2737128000
338557806,Wed Feb 07 15:44:33  2018,master,true,Fri Jan 05 21:45:12  2018,Wed Feb 07 15:44:33  2018,null,null,Fri Jan 05 21:45:12  2018,-1,-1,2829561000,2829561000
338558919,Wed Feb 07 15:46:38  2018,master,true,Fri Jan 05 21:45:12  2018,Wed Feb 07 15:46:38  2018,null,null,Fri Jan 05 21:45:12  2018,-1,-1,2829686000,2829686000
340559471,Mon Feb 12 16:19:20  2018,master,true,Fri Jan 05 21:45:12  2018,Mon Feb 12 16:19:20  2018,null,null,Fri Jan 05 21:45:12  2018,-1,-1,3263648000,3263648000
343874619,Tue Feb 20 15:14:59  2018,master,true,Fri Jan 05 21:45:12  2018,Tue Feb 20 15:14:59  2018,null,null,Fri Jan 05 21:45:12  2018,-1,-1,3950987000,3950987000
343874429,Tue Feb 20 15:18:07  2018,master,true,Fri Jan 05 21:45:12  2018,Tue Feb 20 15:18:07  2018,null,null,Fri Jan 05 21:45:12  2018,-1,-1,3951175000,3951175000
344333616,Wed Feb 21 14:05:21  2018,master,true,Fri Jan 05 21:45:12  2018,Wed Feb 21 14:05:21  2018,null,null,Fri Jan 05 21:45:12  2018,-1,-1,4033209000,4033209000
344336007,Wed Feb 21 14:10:44  2018,master,true,Fri Jan 05 21:45:12  2018,Wed Feb 21 14:10:44  2018,null,null,Fri Jan 05 21:45:12  2018,-1,-1,4033532000,4033532000
344337475,Wed Feb 21 14:14:00  2018,master,true,Fri Jan 05 21:45:12  2018,Wed Feb 21 14:14:00  2018,null,null,Fri Jan 05 21:45:12  2018,-1,-1,4033728000,4033728000
347877668,Thu Mar 01 17:34:12  2018,master,true,Fri Jan 05 21:45:12  2018,Thu Mar 01 17:34:12  2018,null,null,Fri Jan 05 21:45:12  2018,-1,-1,4736940000,4736940000
348458041,Sun Mar 04 12:08:36  2018,master,true,Fri Jan 05 21:45:12  2018,Sun Mar 04 12:08:36  2018,null,null,Fri Jan 05 21:45:12  2018,-1,-1,4976604000,4976604000
349346779,Mon Mar 05 15:31:49  2018,master,true,Fri Jan 05 21:45:12  2018,Mon Mar 05 15:31:49  2018,null,null,Fri Jan 05 21:45:12  2018,-1,-1,5075197000,5075197000
364602498,Tue Apr 10 13:11:00  2018,master,true,Fri Jan 05 21:45:12  2018,Tue Apr 10 13:11:00  2018,null,null,Fri Jan 05 21:45:12  2018,-1,-1,8173548000,8173548000
372245314,Fri Apr 27 22:18:15  2018,master,true,Fri Jan 05 21:45:12  2018,Fri Apr 27 22:18:15  2018,null,null,Fri Jan 05 21:45:12  2018,-1,-1,9675183000,9675183000
372245327,Fri Apr 27 22:18:17  2018,master,true,Fri Jan 05 21:45:12  2018,Fri Apr 27 22:18:15  2018,null,null,Fri Jan 05 21:45:12  2018,-1,-1,9675183000,9675183000
372245327,Fri Apr 27 22:18:17  2018,scijava-common-2.70.0,true,Fri Apr 27 22:18:17  2018,Fri Apr 27 22:18:17  2018,Fri Apr 27 22:18:15  2018,master,Fri Apr 27 22:18:17  2018,-1,-1,0,0
372259201,Fri Apr 27 23:10:44  2018,master,true,Fri Jan 05 21:45:12  2018,Fri Apr 27 23:10:44  2018,Fri Apr 27 22:18:17  2018,scijava-common-2.70.0,Fri Jan 05 21:45:12  2018,9675185000,-1,9678332000,9678332000
372259201,Fri Apr 27 23:10:44  2018,scijava-common-2.70.0,true,Fri Apr 27 22:18:17  2018,Fri Apr 27 22:18:17  2018,Fri Apr 27 23:10:44  2018,master,Fri Apr 27 22:18:17  2018,3147000,3147000,0,0
372513349,Sat Apr 28 20:34:07  2018,master,true,Fri Jan 05 21:45:12  2018,Sat Apr 28 20:34:07  2018,Fri Apr 27 22:18:17  2018,scijava-common-2.70.0,Fri Jan 05 21:45:12  2018,9675185000,-1,9755335000,9755335000
372513349,Sat Apr 28 20:34:07  2018,scijava-common-2.70.0,true,Fri Apr 27 22:18:17  2018,Fri Apr 27 22:18:17  2018,Sat Apr 28 20:34:07  2018,master,Fri Apr 27 22:18:17  2018,80150000,80150000,0,0
372542016,Sat Apr 28 22:49:05  2018,master,true,Fri Jan 05 21:45:12  2018,Sat Apr 28 22:49:05  2018,Fri Apr 27 22:18:17  2018,scijava-common-2.70.0,Fri Jan 05 21:45:12  2018,9675185000,-1,9763433000,9763433000
372542016,Sat Apr 28 22:49:05  2018,scijava-common-2.70.0,true,Fri Apr 27 22:18:17  2018,Fri Apr 27 22:18:17  2018,Sat Apr 28 22:49:05  2018,master,Fri Apr 27 22:18:17  2018,88248000,88248000,0,0
