build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
323718895,Mon Jan 01 05:22:17  2018,master,true,Mon Jan 01 05:22:17  2018,Mon Jan 01 05:22:17  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,0,0
323719192,Mon Jan 01 05:26:10  2018,master,true,Mon Jan 01 05:22:17  2018,Mon Jan 01 05:26:10  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,233000,233000
323719332,Mon Jan 01 05:28:04  2018,master,true,Mon Jan 01 05:22:17  2018,Mon Jan 01 05:28:04  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,347000,347000
323758804,Mon Jan 01 11:54:50  2018,master,true,Mon Jan 01 05:22:17  2018,Mon Jan 01 11:54:50  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,23553000,23553000
323759065,Mon Jan 01 11:56:38  2018,master,true,Mon Jan 01 05:22:17  2018,Mon Jan 01 11:56:38  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,23661000,23661000
323798667,Mon Jan 01 15:43:45  2018,master,true,Mon Jan 01 05:22:17  2018,Mon Jan 01 15:43:45  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,37288000,37288000
323820338,Mon Jan 01 17:23:06  2018,master,true,Mon Jan 01 05:22:17  2018,Mon Jan 01 17:23:06  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,43249000,43249000
324151805,Tue Jan 02 14:43:24  2018,master,true,Mon Jan 01 05:22:17  2018,Tue Jan 02 14:43:24  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,120067000,120067000
324153429,Tue Jan 02 14:47:42  2018,master,true,Mon Jan 01 05:22:17  2018,Tue Jan 02 14:47:42  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,120325000,120325000
324175993,Tue Jan 02 15:47:16  2018,master,true,Mon Jan 01 05:22:17  2018,Tue Jan 02 15:47:16  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,123899000,123899000
324182705,Tue Jan 02 16:05:47  2018,master,true,Mon Jan 01 05:22:17  2018,Tue Jan 02 16:05:47  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,125010000,125010000
324184474,Tue Jan 02 16:11:06  2018,master,true,Mon Jan 01 05:22:17  2018,Tue Jan 02 16:11:06  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,125329000,125329000
324194345,Tue Jan 02 16:36:29  2018,master,true,Mon Jan 01 05:22:17  2018,Tue Jan 02 16:36:29  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,126852000,126852000
324199584,Tue Jan 02 16:52:04  2018,master,true,Mon Jan 01 05:22:17  2018,Tue Jan 02 16:52:04  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,127787000,127787000
324526869,Wed Jan 03 10:38:01  2018,master,true,Mon Jan 01 05:22:17  2018,Wed Jan 03 10:38:01  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,191744000,191744000
324623309,Wed Jan 03 15:24:44  2018,master,true,Mon Jan 01 05:22:17  2018,Wed Jan 03 15:24:44  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,208947000,208947000
324624099,Wed Jan 03 15:26:49  2018,master,true,Mon Jan 01 05:22:17  2018,Wed Jan 03 15:26:49  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,209072000,209072000
324627439,Wed Jan 03 15:35:05  2018,master,true,Mon Jan 01 05:22:17  2018,Wed Jan 03 15:35:05  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,209568000,209568000
324631617,Wed Jan 03 15:44:31  2018,master,true,Mon Jan 01 05:22:17  2018,Wed Jan 03 15:44:31  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,210134000,210134000
324645416,Wed Jan 03 16:17:28  2018,master,true,Mon Jan 01 05:22:17  2018,Wed Jan 03 16:17:28  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,212111000,212111000
324650601,Wed Jan 03 16:30:17  2018,master,true,Mon Jan 01 05:22:17  2018,Wed Jan 03 16:30:17  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,212880000,212880000
324655362,Wed Jan 03 16:43:15  2018,master,true,Mon Jan 01 05:22:17  2018,Wed Jan 03 16:43:15  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,213658000,213658000
324896609,Thu Jan 04 04:42:19  2018,master,true,Mon Jan 01 05:22:17  2018,Thu Jan 04 04:42:19  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,256802000,256802000
324980100,Thu Jan 04 10:53:12  2018,master,true,Mon Jan 01 05:22:17  2018,Thu Jan 04 10:53:12  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,279055000,279055000
325004629,Thu Jan 04 12:17:42  2018,master,true,Mon Jan 01 05:22:17  2018,Thu Jan 04 12:17:42  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,284125000,284125000
325021089,Thu Jan 04 13:13:11  2018,master,true,Mon Jan 01 05:22:17  2018,Thu Jan 04 13:13:11  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,287454000,287454000
325024423,Thu Jan 04 13:24:00  2018,master,true,Mon Jan 01 05:22:17  2018,Thu Jan 04 13:24:00  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,288103000,288103000
325034008,Thu Jan 04 13:53:58  2018,master,true,Mon Jan 01 05:22:17  2018,Thu Jan 04 13:53:58  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,289901000,289901000
325039004,Thu Jan 04 14:10:13  2018,master,true,Mon Jan 01 05:22:17  2018,Thu Jan 04 14:10:13  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,290876000,290876000
325045245,Thu Jan 04 14:24:48  2018,master,true,Mon Jan 01 05:22:17  2018,Thu Jan 04 14:24:48  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,291751000,291751000
325045981,Thu Jan 04 14:26:18  2018,master,true,Mon Jan 01 05:22:17  2018,Thu Jan 04 14:26:18  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,291841000,291841000
325104288,Thu Jan 04 16:25:48  2018,master,true,Mon Jan 01 05:22:17  2018,Thu Jan 04 16:25:48  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,299011000,299011000
325110247,Thu Jan 04 16:40:14  2018,master,true,Mon Jan 01 05:22:17  2018,Thu Jan 04 16:40:14  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,299877000,299877000
325208670,Thu Jan 04 21:24:35  2018,master,true,Mon Jan 01 05:22:17  2018,Thu Jan 04 21:24:35  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,316938000,316938000
325210069,Thu Jan 04 21:27:52  2018,master,true,Mon Jan 01 05:22:17  2018,Thu Jan 04 21:27:52  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,317135000,317135000
325215717,Thu Jan 04 21:45:47  2018,master,true,Mon Jan 01 05:22:17  2018,Thu Jan 04 21:45:47  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,318210000,318210000
325363263,Fri Jan 05 08:59:16  2018,master,true,Mon Jan 01 05:22:17  2018,Fri Jan 05 08:59:16  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,358619000,358619000
325403824,Fri Jan 05 11:18:38  2018,master,true,Mon Jan 01 05:22:17  2018,Fri Jan 05 11:18:38  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,366981000,366981000
325424058,Fri Jan 05 12:27:23  2018,master,true,Mon Jan 01 05:22:17  2018,Fri Jan 05 12:27:23  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,371106000,371106000
325457536,Fri Jan 05 14:19:04  2018,master,true,Mon Jan 01 05:22:17  2018,Fri Jan 05 14:19:04  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,377807000,377807000
325514228,Fri Jan 05 16:38:09  2018,master,true,Mon Jan 01 05:22:17  2018,Fri Jan 05 16:38:09  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,386152000,386152000
325515435,Fri Jan 05 16:40:40  2018,master,true,Mon Jan 01 05:22:17  2018,Fri Jan 05 16:40:40  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,386303000,386303000
325519567,Fri Jan 05 16:51:17  2018,master,true,Mon Jan 01 05:22:17  2018,Fri Jan 05 16:51:17  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,386940000,386940000
325681474,Sat Jan 06 01:35:09  2018,master,true,Mon Jan 01 05:22:17  2018,Sat Jan 06 01:35:09  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,418372000,418372000
325708272,Sat Jan 06 05:05:09  2018,master,true,Mon Jan 01 05:22:17  2018,Sat Jan 06 05:05:09  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,430972000,430972000
325708488,Sat Jan 06 05:06:20  2018,master,true,Mon Jan 01 05:22:17  2018,Sat Jan 06 05:06:20  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,431043000,431043000
325708930,Sat Jan 06 05:09:55  2018,master,true,Mon Jan 01 05:22:17  2018,Sat Jan 06 05:09:55  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,431258000,431258000
325709612,Sat Jan 06 05:17:28  2018,master,true,Mon Jan 01 05:22:17  2018,Sat Jan 06 05:17:28  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,431711000,431711000
325746608,Sat Jan 06 10:19:00  2018,master,true,Mon Jan 01 05:22:17  2018,Sat Jan 06 10:19:00  2018,null,null,Mon Jan 01 05:22:17  2018,-1,-1,449803000,449803000
