build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
324935813,Thu Jan 04 08:19:25  2018,master,true,Thu Jan 04 08:19:25  2018,Thu Jan 04 08:19:25  2018,null,null,Thu Jan 04 08:19:25  2018,-1,-1,0,0
324936083,Thu Jan 04 09:27:10  2018,master,true,Thu Jan 04 08:19:25  2018,Thu Jan 04 09:27:10  2018,null,null,Thu Jan 04 08:19:25  2018,-1,-1,4065000,4065000
324957251,Thu Jan 04 09:41:51  2018,master,true,Thu Jan 04 08:19:25  2018,Thu Jan 04 09:41:51  2018,null,null,Thu Jan 04 08:19:25  2018,-1,-1,4946000,4946000
324977824,Thu Jan 04 10:47:10  2018,master,true,Thu Jan 04 08:19:25  2018,Thu Jan 04 10:47:10  2018,null,null,Thu Jan 04 08:19:25  2018,-1,-1,8865000,8865000
328945740,Mon Jan 15 08:01:22  2018,master,true,Thu Jan 04 08:19:25  2018,Mon Jan 15 08:01:22  2018,null,null,Thu Jan 04 08:19:25  2018,-1,-1,949317000,949317000
334650747,Mon Jan 29 20:31:30  2018,master,true,Thu Jan 04 08:19:25  2018,Mon Jan 29 20:31:30  2018,null,null,Thu Jan 04 08:19:25  2018,-1,-1,2203925000,2203925000
336497174,Fri Feb 02 10:42:22  2018,master,true,Thu Jan 04 08:19:25  2018,Fri Feb 02 10:42:22  2018,null,null,Thu Jan 04 08:19:25  2018,-1,-1,2514177000,2514177000
336498147,Fri Feb 02 10:45:05  2018,master,true,Thu Jan 04 08:19:25  2018,Fri Feb 02 10:45:05  2018,null,null,Thu Jan 04 08:19:25  2018,-1,-1,2514340000,2514340000
336504956,Fri Feb 02 11:03:18  2018,master,true,Thu Jan 04 08:19:25  2018,Fri Feb 02 11:03:18  2018,null,null,Thu Jan 04 08:19:25  2018,-1,-1,2515433000,2515433000
336521425,Fri Feb 02 11:55:54  2018,master,true,Thu Jan 04 08:19:25  2018,Fri Feb 02 11:55:54  2018,null,null,Thu Jan 04 08:19:25  2018,-1,-1,2518589000,2518589000
336538640,Fri Feb 02 12:47:30  2018,master,true,Thu Jan 04 08:19:25  2018,Fri Feb 02 12:47:30  2018,null,null,Thu Jan 04 08:19:25  2018,-1,-1,2521685000,2521685000
342281736,Fri Feb 16 10:42:46  2018,master,true,Thu Jan 04 08:19:25  2018,Fri Feb 16 10:42:46  2018,null,null,Thu Jan 04 08:19:25  2018,-1,-1,3723801000,3723801000
288908226,Fri Feb 16 11:37:15  2018,master,true,Thu Jan 04 08:19:25  2018,Fri Feb 16 11:37:15  2018,null,null,Thu Jan 04 08:19:25  2018,-1,-1,3727070000,3727070000
342434269,Fri Feb 16 17:01:12  2018,master,true,Thu Jan 04 08:19:25  2018,Fri Feb 16 17:01:12  2018,null,null,Thu Jan 04 08:19:25  2018,-1,-1,3746507000,3746507000
342434323,Fri Feb 16 17:01:27  2018,master,true,Thu Jan 04 08:19:25  2018,Fri Feb 16 17:01:27  2018,null,null,Thu Jan 04 08:19:25  2018,-1,-1,3746522000,3746522000
344275997,Wed Feb 21 11:39:23  2018,master,true,Thu Jan 04 08:19:25  2018,Wed Feb 21 11:39:23  2018,null,null,Thu Jan 04 08:19:25  2018,-1,-1,4159198000,4159198000
347742191,Thu Mar 01 12:36:00  2018,master,true,Thu Jan 04 08:19:25  2018,Thu Mar 01 12:36:00  2018,null,null,Thu Jan 04 08:19:25  2018,-1,-1,4853795000,4853795000
350849417,Thu Mar 08 14:37:58  2018,master,true,Thu Jan 04 08:19:25  2018,Thu Mar 08 14:37:58  2018,null,null,Thu Jan 04 08:19:25  2018,-1,-1,5465913000,5465913000
