build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
324943200,Thu Jan 04 08:48:38  2018,master,true,Thu Jan 04 08:48:38  2018,Thu Jan 04 08:48:38  2018,null,null,Thu Jan 04 08:48:38  2018,-1,-1,0,0
324953120,Thu Jan 04 09:25:37  2018,master,true,Thu Jan 04 08:48:38  2018,Thu Jan 04 09:25:37  2018,null,null,Thu Jan 04 08:48:38  2018,-1,-1,2219000,2219000
324955063,Thu Jan 04 09:32:38  2018,master,true,Thu Jan 04 08:48:38  2018,Thu Jan 04 09:32:38  2018,null,null,Thu Jan 04 08:48:38  2018,-1,-1,2640000,2640000
324955172,Thu Jan 04 09:32:54  2018,master,true,Thu Jan 04 08:48:38  2018,Thu Jan 04 09:32:54  2018,null,null,Thu Jan 04 08:48:38  2018,-1,-1,2656000,2656000
329362303,Tue Jan 16 08:14:02  2018,master,true,Thu Jan 04 08:48:38  2018,Thu Jan 04 09:32:54  2018,null,null,Thu Jan 04 08:48:38  2018,-1,-1,2656000,2656000
329362303,Tue Jan 16 08:14:02  2018,add_new_session_objects,true,Tue Jan 16 08:14:02  2018,Tue Jan 16 08:14:02  2018,Thu Jan 04 09:32:54  2018,master,Tue Jan 16 08:14:02  2018,-1,-1,0,0
329362688,Tue Jan 16 08:15:48  2018,master,true,Thu Jan 04 08:48:38  2018,Thu Jan 04 09:32:54  2018,Tue Jan 16 08:15:48  2018,add_new_session_objects,Thu Jan 04 08:48:38  2018,1034830000,1032174000,2656000,2656000
329362688,Tue Jan 16 08:15:48  2018,add_new_session_objects,true,Tue Jan 16 08:14:02  2018,Tue Jan 16 08:15:48  2018,Thu Jan 04 09:32:54  2018,master,Tue Jan 16 08:14:02  2018,-1,-1,106000,106000
329796191,Wed Jan 17 10:44:19  2018,master,true,Thu Jan 04 08:48:38  2018,Wed Jan 17 10:44:19  2018,Tue Jan 16 08:15:48  2018,add_new_session_objects,Thu Jan 04 08:48:38  2018,1034830000,-1,1130141000,1130141000
329796191,Wed Jan 17 10:44:19  2018,add_new_session_objects,true,Tue Jan 16 08:14:02  2018,Tue Jan 16 08:15:48  2018,Wed Jan 17 10:44:19  2018,master,Tue Jan 16 08:14:02  2018,95417000,95311000,106000,106000
329822302,Wed Jan 17 11:09:37  2018,master,true,Thu Jan 04 08:48:38  2018,Wed Jan 17 11:09:37  2018,Tue Jan 16 08:15:48  2018,add_new_session_objects,Thu Jan 04 08:48:38  2018,1034830000,-1,1131659000,1131659000
329822302,Wed Jan 17 11:09:37  2018,add_new_session_objects,true,Tue Jan 16 08:14:02  2018,Tue Jan 16 08:15:48  2018,Wed Jan 17 11:09:37  2018,master,Tue Jan 16 08:14:02  2018,96935000,96829000,106000,106000
330316001,Thu Jan 18 11:37:33  2018,master,true,Thu Jan 04 08:48:38  2018,Thu Jan 18 11:37:33  2018,Tue Jan 16 08:15:48  2018,add_new_session_objects,Thu Jan 04 08:48:38  2018,1034830000,-1,1219735000,1219735000
